"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","B","D",0,"D",0,"D",0,2,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA",,"G",9127,"G",88685,"G",376492,472,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA",,"H",18894,"G",109167,"G",472633,564,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA",,"G",288,"H",2371,"G",10461,21,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA",,"H",193,"H",1335,"H",5915,14,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA",,"G",1089,"G",8439,"G",34815,95,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA",,"G",1989,"G",13957,"G",63860,229,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA",,"G",182,"G",823,"G",3382,21,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA",,"G",144,"H",1288,"H",5955,18,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA",,"H",287,"H",3014,"H",14954,75,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA",,"G",33,"G",272,"G",1138,11,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA",,"J",51,"J",273,"H",1112,10,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA",,"G",4453,"G",37955,"G",167915,333,"CHICOPEE","MA","HAMPDEN"
"01014","CHICOPEE, MA","A","D",0,"D",0,"D",0,1,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA",,"G",8900,"G",78022,"G",347295,553,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA",,"G",224,"G",1370,"G",6154,10,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA",,"G",2056,"G",27760,"G",111321,58,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA",,"G",76,"G",419,"G",2984,19,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA",,"G",3866,"G",35263,"G",148200,416,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA",,"G",7448,"G",73883,"G",318073,516,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA",,"H",266,"J",2363,"J",11538,14,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA",,"H",1223,"G",8243,"G",39120,209,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA",,"H",61,"G",259,"G",1232,20,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA",,"H",123,"G",928,"G",4589,27,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA",,"G",722,"G",5635,"G",25681,122,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA",,"H",112,"H",980,"H",5108,31,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA",,"G",5514,"G",37474,"G",163897,308,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA",,"G",943,"G",7182,"G",36283,116,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA",,"J",266,"J",2997,"J",13143,18,"HARDWICK","MA","WORCESTER"
